point_id;Original City Name;City Name;Fragment of City;Coordinates;District in MAGP;Wiki;Comment
P21;Wysoka;;;49.380278,18.548333;Czaca (CSRS);https://pl.wikipedia.org/wiki/Wysoka_nad_Kisuc%C4%85;
P22;Bogumiłowice;;;50.005556,20.868889;Brzesko;https://pl.wikipedia.org/wiki/Bogumi%C5%82owice_(wojew%C3%B3dztwo_ma%C5%82opolskie);
P23;Bogoniowice;;;49.801111,20.962778;Tarnów;https://pl.wikipedia.org/wiki/Bogoniowice;
P24;Stanisławice;;;49.981944,20.349167;Bochnia;https://pl.wikipedia.org/wiki/Stanis%C5%82awice_(wojew%C3%B3dztwo_ma%C5%82opolskie);
P25;Wisła;;;49.647222,18.8675;Cieszyn ;https://pl.wikipedia.org/wiki/Wis%C5%82a_(miasto);
P27;Odrzykoń;;;49.740278,21.7425;Krosno;https://pl.wikipedia.org/wiki/Odrzyko%C5%84;
P28;Szumbark;;;49.799167,18.403889;Cieszyn (CSRS);https://pl.wikipedia.org/wiki/Szumbark;
P29;Przysieki ;;;49.738611,21.3825;Jasło;https://pl.wikipedia.org/wiki/Przysieki;
P30;Falejówka;;;49.630556,22.163056;Sanok;https://pl.wikipedia.org/wiki/Falej%C3%B3wka;
P31;Łopuchowa;;;50.011944,21.547778;Dębica;https://pl.wikipedia.org/wiki/%C5%81opuchowa;
P32;Mszana ;;;49.969167,18.527222;Rybnik;https://pl.wikipedia.org/wiki/Mszana_(wojew%C3%B3dztwo_%C5%9Bl%C4%85skie);
P33;Drogomyśl;;;49.869444,18.756667;Bielsko;https://pl.wikipedia.org/wiki/Drogomy%C5%9Bl;
P34;Albigowa;;;50.017222,22.228056;Łańcut;https://pl.wikipedia.org/wiki/Albigowa;
P35;Spytkowice;;;49.995556,19.510278;Oświęcim;https://pl.wikipedia.org/wiki/Spytkowice_(powiat_wadowicki);
P36;Drużbaki Niżne;;;49.281389,20.576667;Stara Lubownia (CSRS, Spisz);https://pl.wikipedia.org/wiki/Dru%C5%BCbaki_Ni%C5%BCne;
P37;Kacze;;;49.413333,20.714722;Stara Lubownia (CSRS, Spisz);https://pl.wikipedia.org/wiki/Mniszek_(S%C5%82owacja);??? Zaznaczona najbliższa wieś
;;;;;;;
Ł1;Zakościele;;;;Rawa Mazowiecka;?????;
Ł2;Redzeń Stary;;;51.718333,19.885;Brzeziny;https://pl.wikipedia.org/wiki/Stary_Redze%C5%84;
Ł3;Bogusławice;;;51.526667,19.825;Piotrków;https://pl.wikipedia.org/wiki/Bogus%C5%82awice_(wie%C5%9B_w_wojew%C3%B3dztwie_%C5%82%C3%B3dzkim);
Ł4;Witów;;;51.365,19.739722;Piotrków;https://pl.wikipedia.org/wiki/Wit%C3%B3w_(powiat_piotrkowski);
Ł4a;Milejów;;;51.348056,19.71;Piotrków;https://pl.wikipedia.org/wiki/Milej%C3%B3w_(powiat_piotrkowski);
Ł5;Łęki Szlacheckie;;;51.185,19.809444;Piotrków;https://pl.wikipedia.org/wiki/%C5%81%C4%99ki_Szlacheckie;
Ł6;Wielgomłyny;;;51.013056,19.763333;Radomsko;https://pl.wikipedia.org/wiki/Wielgom%C5%82yny_(wie%C5%9B);
Ł7;Koniecpol Stary;;;50.788611,19.639167;Radomsko;https://pl.wikipedia.org/wiki/Stary_Koniecpol;
Ł8;Bedlno;;;52.208333,19.576111;Kutno;https://pl.wikipedia.org/wiki/Bedlno_(wojew%C3%B3dztwo_%C5%82%C3%B3dzkie);
Ł9;Piaski;;;51.925556,19.250556;Łęczyca;https://pl.wikipedia.org/wiki/Chociszew_(powiat_zgierski);
Ł10;Dobra;;;51.8675, 19.560278;Brzeziny;https://pl.wikipedia.org/wiki/Dobra_(powiat_zgierski);
Ł11;Kruszów;;;51.584167,19.567222;Łódź;https://pl.wikipedia.org/wiki/Krusz%C3%B3w;
Ł12;Woźniki;;;51.410556,19.5225;Piotrków;https://pl.wikipedia.org/wiki/Wo%C5%BAniki_(powiat_piotrkowski);
Ł13;Ruszczyn;;;51.230278,19.394722;Piotrków;https://pl.wikipedia.org/wiki/Ruszczyn;
Ł14;Ładzice;;;51.080833,19.359444;Radomsko;https://pl.wikipedia.org/wiki/%C5%81adzice;
Ł15;Nieznanice;;;50.921389,19.309444;Radomsko;https://pl.wikipedia.org/wiki/Nieznanice;
Ł16;Witonia;;;52.146944,19.293889;Łęczyca;https://pl.wikipedia.org/wiki/Witonia;
Ł17;Chociszew;;;51.925556,19.250556;Łęczyca;https://pl.wikipedia.org/wiki/Chociszew_(powiat_zgierski);
Ł18;Kazimierz;;;51.754722,19.2125;Łódź;https://pl.wikipedia.org/wiki/Lutomiersk_(gmina);
Ł19;Wydrzyn Stary;;;51.619444,19.122778;Łask;https://pl.wikipedia.org/wiki/Wydrzyn_(powiat_%C5%82aski);
Ł20;Kurów;;;51.223611,18.485833;Łask;https://pl.wikipedia.org/wiki/Kur%C3%B3w_(powiat_wielu%C5%84ski);
Ł21;Chabielice;;;51.266111,19.113333;Piotrków;https://pl.wikipedia.org/wiki/Chabielice;
Ł22;Niwiska Górne;;;51.105278,18.966944;Wieluń;https://pl.wikipedia.org/wiki/Niwiska_G%C3%B3rne;
Ł23;Sobótka Stara;;;52.185278,19.030833;Łęczyca;https://pl.wikipedia.org/wiki/Stara_Sob%C3%B3tka;
Ł24;Rożniatów;;;52.045833,18.829444;Turek;https://pl.wikipedia.org/wiki/Ro%C5%BCniat%C3%B3w_(wojew%C3%B3dztwo_%C5%82%C3%B3dzkie);
Ł25;Bałdrzychów;;;51.868056,18.923889;Łęczyca;https://pl.wikipedia.org/wiki/Ba%C5%82drzych%C3%B3w;
Ł26;Rossoszyca;;;51.701111,18.790833;Sieradz;https://pl.wikipedia.org/wiki/Rossoszyca;
Ł27;Dąbrowa Wielka;;;51.528056,18.716944;Sieradz;https://pl.wikipedia.org/wiki/D%C4%85browa_Wielka_(wojew%C3%B3dztwo_%C5%82%C3%B3dzkie);
Ł28;Wielgie;;;51.335556,18.711111;Wieluń;https://pl.wikipedia.org/wiki/Wielgie_(wojew%C3%B3dztwo_%C5%82%C3%B3dzkie);
Ł29;Mierzyce;;;51.1575,18.689444;Wieluń;https://pl.wikipedia.org/wiki/Mierzyce;
Ł30;Żytniów;;;51.014444,18.569167;Wieluń;https://pl.wikipedia.org/wiki/%C5%BBytni%C3%B3w;
Ł31;Żuki;;;52.001111,18.544444;Turek;https://pl.wikipedia.org/wiki/%C5%BBuki_(wojew%C3%B3dztwo_wielkopolskie);
Ł32;Tokary;;;52.376944,18.348889;Turek;https://pl.wikipedia.org/wiki/Tokary_(wojew%C3%B3dztwo_wielkopolskie);
Ł33;Kamienna;;;51.665,18.384167;Kalisz;https://pl.wikipedia.org/wiki/Kamienna-Wie%C5%9B;Niepewne
Ł34;Kraszewice;;;51.517222,18.223333;Wieluń;https://pl.wikipedia.org/wiki/Kraszewice_(wojew%C3%B3dztwo_wielkopolskie);Niepewne
Ł35;Rybka;;;51.371111,18.344167;Wieluń;https://pl.wikipedia.org/wiki/Rybka_(wojew%C3%B3dztwo_%C5%82%C3%B3dzkie);
Ł36;Skomlin;;;51.170833,18.386944;Wieluń;https://pl.wikipedia.org/wiki/Skomlin;
Ł37;Laski ;;;51.193056,18.025556;Kępno;https://pl.wikipedia.org/wiki/Laski_(wie%C5%9B_w_powiecie_k%C4%99pi%C5%84skim);
Ł38;Rogaszyce;;;51.386667,17.952778;Kępno;https://pl.wikipedia.org/wiki/Rogaszyce_(powiat_ostrzeszowski);
Ł38a;Kochlowy ;;;51.365833,17.960556;Kępno;https://pl.wikipedia.org/wiki/Koch%C5%82owy;
Ł39;Świeca;;;51.536944,17.698611;Ostrów Wielkopolski;https://pl.wikipedia.org/wiki/%C5%9Awieca_(wojew%C3%B3dztwo_wielkopolskie);
Ł40;Powiercie;;;52.182778,18.688056;Koło;https://pl.wikipedia.org/wiki/Powiercie;
Ł41;Wiskitno;;;53.329444,17.755833;Łódź;https://pl.wikipedia.org/wiki/Wiskitno;
