point_id;Original City Name;City Name;Fragment of City;Coordinates;District in MAGP;Wiki;Comment
34;Bąków;;;51.295833,20.934444;Radom;https://pl.wikipedia.org/wiki/B%C4%85k%C3%B3w_(powiat_szyd%C5%82owiecki);
35;Karczmiska;;;51.23,21.988889;Puławy;https://pl.wikipedia.org/wiki/Karczmiska_(gmina);
36;Mełgiew;;;51.230833,22.780556;Lublin;https://pl.wikipedia.org/wiki/Me%C5%82giew;
37;Mszanna;;;51.335278,23.535556;Chełm;https://pl.wikipedia.org/wiki/Mszanna_(wojew%C3%B3dztwo_lubelskie);
38;Żuki;;;51.811111,23.4125;Biała Podlaska;https://pl.wikipedia.org/wiki/%C5%BBuki_(gmina_Tuczna);
39;Nadwitnie;;;51.794355,22.636875;Radzyń Podlaski;https://pl.wikipedia.org/wiki/Nadwitnie;
40;Życzyn;;;51.672778,21.735556;Garwolin;https://pl.wikipedia.org/wiki/%C5%BByczyn;
41;Wólka Dankowska - Główczyn;;;51.746389,20.718611;Grójec;https://pl.wikipedia.org/wiki/W%C3%B3lka_Da%C5%84kowska;
42;Żelechlinek;;;51.710833,20.033611;Rawa Mazowiecka;https://pl.wikipedia.org/wiki/%C5%BBelechlinek;
43;Brużyca;;;51.832778,19.343611;Łódź;https://pl.wikipedia.org/wiki/Kolonia_Bru%C5%BCyca;
44;Grzybki;;;51.7275,18.597222;Turek;https://pl.wikipedia.org/wiki/Grzybki;
45;Brzezie;;;51.886111,17.862778;Jarocin;https://pl.wikipedia.org/wiki/Brzezie_(powiat_pleszewski);
46;Piaski;;;51.884722,17.074444;Gostyń;https://pl.wikipedia.org/wiki/Piaski_(powiat_gosty%C5%84ski);
46A ;Zakrzewo;;;51.671667,16.894444;Rawicz;https://pl.wikipedia.org/wiki/Zakrzewo_(powiat_rawicki);
47;Wijewo;;;51.918333,16.185556;Leszno;https://pl.wikipedia.org/wiki/Wijewo;
48;Nowe Kramsko;;;52.14,15.769167;Sulechów;https://pl.wikipedia.org/wiki/Nowe_Kramsko;
49;Szewce;;;52.306389,16.5075;Nowy Tomyśl;https://pl.wikipedia.org/wiki/Szewce_(gmina_Buk);
50;Jarosławiec;;;52.252778,17.228333;Środa;https://pl.wikipedia.org/wiki/Jaros%C5%82awiec_(powiat_%C5%9Bredzki);
51;Pątnów;;;52.307481,18.257947;Konin;https://pl.wikipedia.org/wiki/P%C4%85tn%C3%B3w_(Konin);
52;Luboniek;;;52.296667,18.804722;Koło;https://pl.wikipedia.org/wiki/Luboniek;
53;Czermno;;;52.398889,19.7975;Gostynin;https://pl.wikipedia.org/wiki/Czermno_(wojew%C3%B3dztwo_mazowieckie);
53A ;Świeryż;;;52.155278,19.866944;Łowicz;https://pl.wikipedia.org/wiki/%C5%9Awiery%C5%BC_Pierwszy;
54;Borzęcin Duży;;;52.252222,20.733889;Blonie;https://pl.wikipedia.org/wiki/Borz%C4%99cin_Du%C5%BCy;
55;Kobyłka;;;52.339167,21.195833;Wołomin;https://pl.wikipedia.org/wiki/Koby%C5%82ka;
56;Czarnoty;;;52.305556,22.395;Siedlce;https://pl.wikipedia.org/wiki/Czarnoty_(powiat_siedlecki);
57;Serpelice;;;52.275556,23.054722;Biała Podlaska;https://pl.wikipedia.org/wiki/Serpelice;
58;Budy (tzw. Pierwsze);;;52.731944,23.731389;Bielsk Podlaski;https://pl.wikipedia.org/wiki/Budy_(powiat_hajnowski);
59;Bańki;;;52.819722,23.124722;Bielsk Podlaski;https://pl.wikipedia.org/wiki/Ba%C5%84ki;
60;Kamieńczyk;;;52.602778,21.541111;Ostrów Mazowiecka;https://pl.wikipedia.org/wiki/Kamie%C5%84czyk_(powiat_wyszkowski);??? Ta wieś leży na płn-zachód
61;Osuchowo;;;52.743889,21.696389;Ostrów Mazowiecka;https://pl.wikipedia.org/wiki/Stara_Osuchowa;
62;Ostaszewo Wielkie;;;52.757222,20.817222;Pułtusk;https://pl.wikipedia.org/wiki/Ostaszewo_Wielkie;
63;Mała Wieś;;;52.803333,20.016389;Sierpc;https://pl.wikipedia.org/wiki/Ma%C5%82a_Wie%C5%9B_(powiat_p%C5%82o%C5%84ski);
64;Wierzbick;;;52.830556,19.263333;Lipno;https://pl.wikipedia.org/wiki/Wierzbick;
65;Parchanie;;;52.805278,18.3975;Inowrocław;https://pl.wikipedia.org/wiki/Parchanie;
66;Juncewo;;;52.833611,17.528056;Żnin;https://pl.wikipedia.org/wiki/Juncewo_(wojew%C3%B3dztwo_kujawsko-pomorskie);
67;Sierakówko;;;52.9,16.566667;Oborniki;https://pl.wikipedia.org/wiki/Powiat_czarnkowsko-trzcianecki;
68;Drawsko;;;52.853889,16.029722;Czarnków;https://pl.wikipedia.org/wiki/Drawsko_(wie%C5%9B);
69;Stawnica;;;53.405,17.068333;Złotów;https://pl.wikipedia.org/wiki/Stawnica_(wojew%C3%B3dztwo_wielkopolskie);
69a;Dziembowo;;;53.0725,16.835;Chodzież;https://pl.wikipedia.org/wiki/Dziembowo;
70;Tryszczyn;;;53.226667,17.923611;Bydgoszcz;https://pl.wikipedia.org/wiki/Tryszczyn;
71;Pluskowęsy-Zelgno;;;53.18,18.665;Toruń;https://pl.wikipedia.org/wiki/Pluskow%C4%99sy_(powiat_toru%C5%84ski);
72;Szczuka;;;53.2125,19.443889;Brodnica;https://pl.wikipedia.org/wiki/Szczuka_(wie%C5%9B);
73;Uniszki Zawadzkie;;;53.164167,20.413889;Mława;https://pl.wikipedia.org/wiki/Uniszki_Zawadzkie;
74;Chudek;;;53.177222,21.390278;Ostrołęka;https://pl.wikipedia.org/wiki/Chudek;
75;Poniat;;;53.221944,22.196111;Łomża;https://pl.wikipedia.org/wiki/Poniat_(wie%C5%9B);
76;Rybniki;;;53.265,23.134722;Białystok;https://pl.wikipedia.org/wiki/Rybniki_(wojew%C3%B3dztwo_podlaskie);
77;Wierzchjedliny;;;53.360278,23.384167;Sokółka;https://pl.wikipedia.org/wiki/Wierzchjedlina;
78;Rubcowo;;;53.8125,23.448889;Augustów;https://pl.wikipedia.org/wiki/Rubcowo;
79;Szymany;;;53.628333,22.508611;Grajewo;https://pl.wikipedia.org/wiki/Szymany_(gmina_Grajewo);
80;Snopki;;;53.638333,21.768056;Pisz;https://pl.wikipedia.org/wiki/Snopki;
81;Siedliska;;;53.681389,20.828889;Szczytno;https://pl.wikipedia.org/wiki/Siedliska_(powiat_szczycie%C5%84ski);
81A;Bredynek;;;53.893611,21.038333;Reszel;https://pl.wikipedia.org/wiki/Bredynki;
