Nr;Original City Name;City Name Today;Fragment of City;Coordinates;Wiki;Comment;XV.1/0;XV.1/1;XV.1/2;XV.1/3;XV.1/4;XV.1/5;XV.1/6;XV.1/7;XV.1/8;XV.1/9;XV.1/10;XV.1/11;XV.38/0;XV.38/1;XV.38/2;XV.38/3;XV.38/4;XV.38/5;XV.38/6;XV.38/7;XV.38/8;XV.38/9;XV.38/10;XV.38/11;XV.38/12;XV.38/13;XV.38/14;Map_1;Map_2;Map_3
26a;Mosty;;;54.608333, 18.496111;https://pl.wikipedia.org/wiki/Mosty_(powiat_pucki);;;;;;;;1;;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;aaaaa;bbbbb
27;Dębogórze;;;54.591111, 18.458333;https://pl.wikipedia.org/wiki/D%C4%99bog%C3%B3rze_(wie%C5%9B);;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;aaaaa;bbbbb
28;Gniewowo;;;54.573889, 18.308611;https://pl.wikipedia.org/wiki/Gniewowo_(wojew%C3%B3dztwo_pomorskie);;a;;;a;;;;1;1;1;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;aaaaa;bbbbb
29;Gdynia;;;54.519167, 18.539444;https://pl.wikipedia.org/wiki/Gdynia;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;bbbbb;bbbbb
30;Łężyce;;;54.521111, 18.3675;https://pl.wikipedia.org/wiki/%C5%81%C4%99%C5%BCyce_(wojew%C3%B3dztwo_pomorskie);;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;bbbbb;bbbbb
31;Zęblewo;;;54.456944, 18.117778;https://pl.wikipedia.org/wiki/Z%C4%99blewo;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;bbbbb;bbbbb
32;Jeleńska Huta;;;54.455556, 18.225833;https://pl.wikipedia.org/wiki/Jele%C5%84ska_Huta;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;bbbbb;bbbbb
32a;Szemudzka Huta;;;54.468333, 18.225;https://pl.wikipedia.org/wiki/Szemudzka_Huta;;;;;;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;bbbbb;bbbbb
33;Częstkowo;;;54.501944, 18.147222;https://pl.wikipedia.org/wiki/Cz%C4%99stkowo_(powiat_wejherowski);;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
34;Sopieszyno;;;54.547222, 18.226667;https://pl.wikipedia.org/wiki/Sopieszyno;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
35;Bieszkowice;;;54.514167, 18.294167;https://pl.wikipedia.org/wiki/Bieszkowice;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
36;Czeczewo;;;54.414167, 18.317778;https://pl.wikipedia.org/wiki/Czeczewo_(wojew%C3%B3dztwo_pomorskie);;;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
37;Koleczkowo;;;54.486389, 18.343611;https://pl.wikipedia.org/wiki/Koleczkowo;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
38;Chwaszczyno;;;54.443611, 18.418889;https://pl.wikipedia.org/wiki/Chwaszczyno;;a;;;a;;;1;;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
39;Gdynia-Grabówek;;;54.5252, 18.5097;https://pl.wikipedia.org/wiki/Grab%C3%B3wek_(Gdynia);;a;;;a;;;;;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
40;Kack Wielki;Wielki Kack;;54.468186, 18.49205;https://pl.wikipedia.org/wiki/Wielki_Kack;;a;;;a;;;;;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
47;Kętrzyno;;;54.488611, 17.939444;https://pl.wikipedia.org/wiki/K%C4%99trzyno;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
48;Tępcz;;;54.506111, 18.039167;https://pl.wikipedia.org/wiki/T%C4%99pcz;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
49;Niepoczołowice;;;54.437222, 17.888056;https://pl.wikipedia.org/wiki/Niepoczo%C5%82owice;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
