Nr;Original City Name;City Name Today;Fragment of City;Coordinates;Wiki;Comment;XV.1/0;XV.1/1;XV.1/2;XV.1/3;XV.1/4;XV.1/5;XV.1/6;XV.1/7;XV.1/8;XV.1/9;XV.1/10;XV.1/11;XV.38/0;XV.38/1;XV.38/2;XV.38/3;XV.38/4;XV.38/5;XV.38/6;XV.38/7;XV.38/8;XV.38/9;XV.38/10;XV.38/11;XV.38/12;XV.38/13;XV.38/14;Map_1;Map_2;Map_3
138;Kiełpin;;;53.880556, 17.320278;https://pl.wikipedia.org/wiki/Kie%C5%82pin_(powiat_chojnicki);;;1;;;;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
139;Swornigacie;Swornegacie;;53.859444, 17.4975;https://pl.wikipedia.org/wiki/Swornegacie;;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
140;Zielona Chocina;;;53.893611, 17.404444;https://pl.wikipedia.org/wiki/Zielona_Chocina;;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
141;Leśno;;;53.948611, 17.701111;https://pl.wikipedia.org/wiki/Le%C5%9Bno_(powiat_chojnicki);;;1;;;1;;;;;1;;;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
142;Rolbik;;;53.929444, 17.579444;https://pl.wikipedia.org/wiki/Rolbik;;;;1;;;1;;;;1;;;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
144;Czyczkowy;;;53.871944, 17.6775;https://pl.wikipedia.org/wiki/Czyczkowy;;;1;;;;;;;;1;;;1;;;;;;;1;1;1;1;1;;;1;ccccc;bbbbb;bbbbb
145;Olszyny;;;53.818333, 17.803611;https://pl.wikipedia.org/wiki/Olszyny_(osada_le%C5%9Bna_w_wojew%C3%B3dztwie_pomorskim);;;1;;;1;;;;;1;;;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
146;Wdzydze Tucholskie;;;53.974444, 17.928333;https://pl.wikipedia.org/wiki/Wdzydze_Tucholskie;;;1;;;;1;;;;1;;;1;;;;;;;1;1;1;1;1;;;1;ccccc;bbbbb;bbbbb
147;Konarzyny;;;53.967778, 18.090278;https://pl.wikipedia.org/wiki/Konarzyny_(powiat_ko%C5%9Bcierski);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
148;Przytarnia;;;53.948611, 17.873889;https://pl.wikipedia.org/wiki/Przytarnia;;;1;;;;1;;;;1;;;1;;;;;;;1;1;1;1;1;;;1;ccccc;bbbbb;bbbbb
149;Karsin;;;53.901944, 17.932222;https://pl.wikipedia.org/wiki/Karsin;;;1;;;;1;;;;1;;;1;;;;;;;1;1;1;1;1;;;1;ccccc;bbbbb;bbbbb
150;Małe Gliśno;;;53.895, 17.77;https://pl.wikipedia.org/wiki/Ma%C5%82e_Gli%C5%9Bno;;;1;1;;1;;;;;1;;;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
152;Studzienice;;;53.890833, 18.149722;https://pl.wikipedia.org/wiki/Studzienice_(powiat_starogardzki);;;;;;;;;;;;;;;;;1;;;;;1;1;1;;;;;ccccc;bbbbb;bbbbb
153;Czarna Woda;;;53.844444, 18.1;https://pl.wikipedia.org/wiki/Czarna_Woda_(miasto);;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;bbbbb
154;Kłanin;Klaniny;;53.828611, 18.204444;https://pl.wikipedia.org/wiki/Klaniny;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;ccccc;bbbbb;bbbbb
155;Osieczno;Osieczna;;53.771389, 18.202222;https://pl.wikipedia.org/wiki/Osieczna_(wojew%C3%B3dztwo_pomorskie);;;;;;;;;;;;;;;;1;;;;;;1;1;1;;;;;ccccc;bbbbb;bbbbb
156;Lubichowo;;;53.851111, 18.401667;https://pl.wikipedia.org/wiki/Lubichowo;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
158;Długie;;;53.774167, 18.348056;https://pl.wikipedia.org/wiki/D%C5%82ugie_(wie%C5%9B_w_wojew%C3%B3dztwie_pomorskim);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
159;Skórcz;;;53.796667, 18.526111;https://pl.wikipedia.org/wiki/Sk%C3%B3rcz;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
160;Leśna Jania;;;53.721667, 18.605;https://pl.wikipedia.org/wiki/Le%C5%9Bna_Jania;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
162;Męcikał;;;53.82, 17.666667;https://pl.wikipedia.org/wiki/M%C4%99cika%C5%82;;;1;;;;1;;;;1;;;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
163;Konarzyny;;;53.822778, 17.376944;https://pl.wikipedia.org/wiki/Konarzyny_(powiat_chojnicki);;a;;1;;1;;;;;1;;1;1;;;;;;;1;1;1;1;1;;;1;ccccc;bbbbb;bbbbb
165;Klonia;Duża Klonia;;53.778889, 17.703056;https://pl.wikipedia.org/wiki/Du%C5%BCa_Klonia;;;;1;;;1;;;;1;;;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
167;Łubna;;;53.816944, 17.9875;https://pl.wikipedia.org/wiki/%C5%81ubna_(wojew%C3%B3dztwo_pomorskie);;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
168;Krzyż;;;53.796667, 17.871667;https://pl.wikipedia.org/wiki/Krzy%C5%BC_(wojew%C3%B3dztwo_pomorskie);;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
170;Rzepiczna;;;53.716667, 18.010556;https://pl.wikipedia.org/wiki/Rzepiczna;;;;;;;;;;;;;;;;1;;;;;;1;1;1;;;;;ccccc;bbbbb;ccccc
171;Rosochatka;;;53.709444, 18.127778;https://pl.wikipedia.org/wiki/Rosochatka;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;ccccc;bbbbb;ccccc
172;Suchobrzeźnica;;;53.713333, 18.323889;https://pl.wikipedia.org/wiki/Suchobrze%C5%BAnica;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;ccccc;bbbbb;ccccc
175;Zdroje;;;53.596111, 18.170833;https://pl.wikipedia.org/wiki/Zdroje_(powiat_tucholski);;;;;;;;;;;;;;;;;1;;;;;1;1;1;;;;;ccccc;bbbbb;ccccc
176;Rogoźno;Rogóźno;;53.535556, 18.928611;https://pl.wikipedia.org/wiki/Rog%C3%B3%C5%BAno_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;ccccc
177;Komorsk Wielki;Wielki Komorsk;;53.586667, 18.671111;https://pl.wikipedia.org/wiki/Wielki_Komorsk;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;ccccc
178;Okonin;;;53.435278, 18.896111;https://pl.wikipedia.org/wiki/Okonin_(powiat_grudzi%C4%85dzki);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;ccccc
183;Raciąż;;;53.665556, 17.789167;https://pl.wikipedia.org/wiki/Raci%C4%85%C5%BC_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
184;Rytel;;;53.753056, 17.776944;https://pl.wikipedia.org/wiki/Rytel;;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
185;Bladowo;;;53.595, 17.818333;https://pl.wikipedia.org/wiki/Bladowo_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
188;Łąkie;;;53.501389, 17.121389;https://pl.wikipedia.org/wiki/%C5%81%C4%85kie_(powiat_z%C5%82otowski);;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
189;Orzełek;;;53.555, 17.490278;https://pl.wikipedia.org/wiki/Orze%C5%82ek_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
190;Jeleńcz;;;53.558056, 17.746944;https://pl.wikipedia.org/wiki/Jele%C5%84cz_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
191;Stara Wiśniewka;;;53.448333, 17.09;https://pl.wikipedia.org/wiki/Stara_Wi%C5%9Bniewka;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
192;Stawnica;;;53.405, 17.068333;https://pl.wikipedia.org/wiki/Stawnica_(wojew%C3%B3dztwo_wielkopolskie);;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
193;Buczek Wielki;Wielki Buczek;;53.4375, 17.288889;https://pl.wikipedia.org/wiki/Wielki_Buczek_(powiat_z%C5%82otowski);;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
194;Zakrzewo;;;53.410556, 17.1525;https://pl.wikipedia.org/wiki/Zakrzewo_(powiat_z%C5%82otowski);;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
195;Radawnica;;;53.444722, 16.985278;https://pl.wikipedia.org/wiki/Radawnica;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
196;Mała Cerkwica;;;53.514167, 17.579444;https://pl.wikipedia.org/wiki/Ma%C5%82a_Cerkwica;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
197;Gostycyn;;;53.489722, 17.814167;https://pl.wikipedia.org/wiki/Gostycyn;;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
199;Lutowo;;;53.448056, 17.436667;https://pl.wikipedia.org/wiki/Lutowo_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
200;Mąkowarsko;;;53.405833, 17.811389;https://pl.wikipedia.org/wiki/M%C4%85kowarsko;;;;;;;;;;;;;;;1;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
201;Krzywogonica;Krzywogoniec;;53.601111, 18.038889;https://pl.wikipedia.org/wiki/Krzywogoniec;;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
202;Płazowo;;;53.531944, 17.944722;https://pl.wikipedia.org/wiki/P%C5%82azowo;;;;;;;;;;;;;;;;1;;;;;;1;1;1;;;;;ccccc;bbbbb;ccccc
204;Trutnowo;;;53.473056, 18.078889;https://pl.wikipedia.org/wiki/Trutnowo_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;;1;;;;;;1;1;1;;;;;ccccc;bbbbb;ccccc
205;Klonowo;;;53.451389, 17.970278;https://pl.wikipedia.org/wiki/Klonowo_(powiat_tucholski);;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
206;Miedzno;;;53.596667, 18.393056;https://pl.wikipedia.org/wiki/Miedzno_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;ccccc
207;Lniano;;;53.528056, 18.214722;https://pl.wikipedia.org/wiki/Lniano;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;ccccc;bbbbb;ccccc
208;Lipinki;;;53.636667, 18.480278;https://pl.wikipedia.org/wiki/Lipinki_(powiat_%C5%9Bwiecki);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;ccccc
209;Przysiersk;;;53.429167, 18.306944;https://pl.wikipedia.org/wiki/Przysiersk;;;;;;;;;;;;;;;;1;1;;;;;1;1;1;;;;;ccccc;bbbbb;ccccc
210;Jeżewo;;;53.511389, 18.494444;https://pl.wikipedia.org/wiki/Je%C5%BCewo_(powiat_%C5%9Bwiecki);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;ccccc
211;Sypniewo;;;53.370278, 17.32444;https://pl.wikipedia.org/wiki/Sypniewo_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
213;Blękwit;;;53.346944, 17.018333;https://pl.wikipedia.org/wiki/Bl%C4%99kwit;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
214;Podróżna;;;53.242222, 17.058611;https://pl.wikipedia.org/wiki/Podr%C3%B3%C5%BCna;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
217;Suchorączek;;;53.367222, 17.518889;https://pl.wikipedia.org/wiki/Suchor%C4%85czek;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
219;Wąwelno;;;53.320556, 17.671944;https://pl.wikipedia.org/wiki/W%C4%85welno;;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
221;Serock;;;53.356944, 18.079444;https://pl.wikipedia.org/wiki/Serock_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
222;Gruczno;;;53.348611, 18.311667;https://pl.wikipedia.org/wiki/Gruczno;;;;;;;;;;;;;;;;1;1;;;;;1;1;1;;;;;ccccc;bbbbb;ccccc
223;Wabcz;;;53.347222, 18.566389;https://pl.wikipedia.org/wiki/Wabcz;;;;;;;;;;;;;;;;;;1;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
224;Grzywna;;;53.155278, 18.611389;https://pl.wikipedia.org/wiki/Grzywna_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;;;;1;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
225;Włóki;;;53.249167, 18.196667;https://pl.wikipedia.org/wiki/W%C5%82%C3%B3ki_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;;;;1;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
226;Skic;;;53.3125, 17.170833;https://pl.wikipedia.org/wiki/Skic;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
227;Głupczyn;Głubczyn;;53.243056, 16.959167;https://pl.wikipedia.org/wiki/G%C5%82ubczyn;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
228;Dźwierszno Wielkie;;;53.301389, 17.363056;https://pl.wikipedia.org/wiki/D%C5%BAwierszno_Wielkie;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
229;Szczerbin;;;53.228611, 17.242778;https://pl.wikipedia.org/wiki/Szczerbin_(wojew%C3%B3dztwo_wielkopolskie);;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
230;Sadki;;;53.160278, 17.448333;https://pl.wikipedia.org/wiki/Sadki_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;bbbbb;ccccc
231;Kaźmierzowo;;;53.221667, 17.482778;https://pl.wikipedia.org/wiki/Ka%C5%BAmierzewo_(powiat_nakielski);;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;ccccc;ccccc
232;Gościeradz;;;53.261667, 17.919722;https://pl.wikipedia.org/wiki/Go%C5%9Bcieradz_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;ccccc;ccccc
235;Niemcz;;;53.183611, 18.033889;https://pl.wikipedia.org/wiki/Niemcz;;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;;;;ccccc;ccccc;ccccc
236;Byszki;;;53.0875, 16.764167;https://pl.wikipedia.org/wiki/Byszki_(powiat_pilski);;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;ccccc;ccccc
237;Rzadkowo;;;53.092222, 16.932222;https://pl.wikipedia.org/wiki/Rzadkowo;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;ccccc;ccccc
239;Strzelczyki;;;53.032222, 17.035556;https://pl.wikipedia.org/wiki/Strzelczyki;;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;ccccc;ccccc;ccccc
240;Stare Dębówko;Dębówko Stare;;53.125, 17.171944;https://pl.wikipedia.org/wiki/D%C4%99b%C3%B3wko_Stare;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;;;;ccccc;ccccc;ccccc
241;Mieczkowo;;;53.070556, 17.3475;https://pl.wikipedia.org/wiki/Mieczkowo;;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;ccccc;ccccc;ccccc
243;Łochowo;;;53.122778, 17.839722;https://pl.wikipedia.org/wiki/%C5%81ochowo_(wie%C5%9B);;;;;;;;;;;;;;;1;;;;1;;;1;1;1;1;;;;ccccc;ccccc;ccccc
244;Tur;;;53.084722, 17.734722;https://pl.wikipedia.org/wiki/Tur_(wojew%C3%B3dztwo_kujawsko-pomorskie);;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;ccccc;ccccc;ccccc
246;Solec Kujawski;;;53.080556, 18.222222;https://pl.wikipedia.org/wiki/Solec_Kujawski;;;;;;;;;;;;;;;;;;;1;;;1;1;1;1;;;;ccccc;ccccc;ccccc
